ats_difs_syn_3_lci_8_10_11_10, ats_dift_syn_4_uci_8_10_11_10, ats_int_syn_2_rate_8_10_11_10, ats_difs_syn_2_rate_8_10_11_10, area_code, ats_difs_syn_5_rrm_8_10_11_10, ats_int_syn_4_uci_8_10_11_10, ats_del_c_syn_5_rrm_8_10_11_10, ats_dift_syn_3_lci_8_10_11_10, ats_int_syn_3_lci_8_10_11_10, ats_del_p_syn_3_lci_8_10_11_10, ats_del_c_syn_4_uci_8_10_11_10, ats_del_p_syn_4_uci_8_10_11_10, ats_del_c_syn_1_no_8_10_11_10, area_name, ats_dift_syn_1_no_8_10_11_10, ats_del_c_syn_3_lci_8_10_11_10, ats_del_p_syn_1_no_8_10_11_10, ats_int_syn_1_no_8_10_11_10, ats_int_syn_5_sig_8_10_11_10, ats_dift_syn_2_rate_8_10_11_10, ats_del_c_syn_2_rate_8_10_11_10, ats_difs_syn_1_no_8_10_11_10, ats_difs_syn_4_uci_8_10_11_10, ats_del_p_syn_5_rrm_8_10_11_10, ats_dift_syn_5_rrm_8_10_11_10, ats_del_p_syn_2_rate_8_10_11_10
24.93766571561,8.31533956293992,74.1036716673831,37.9825631241209,21270,3.0,82.3735182343841,3.0,1.72005456115784,65.833825100382,7.82268986773102,24.8522599944372,21.0084654735992,834.609101279193,"Buloke (S)",268.377600370009,10.297431096248,673.655738189954,3506.9794139641,3.0,5.01769706204888,17.5748455453426,1932.0001306359,51.0274605326318,3.0,1.0,14.4155776706651
24.5875662096182,7.21261451630267,72.8105806087391,34.0673622733884,21370,3.0,78.6284851998098,3.0,2.24302565455954,66.9926760176683,9.11123282572998,21.4073456152328,18.3693183886711,4524.13464315764,"Campaspe (S)",1381.46887096936,11.1197214575705,3784.34533389239,20280.1322715119,3.0,4.72782008543111,16.2635335364017,9821.5348883163,43.5471583371587,3.0,1.0,13.7402756072005
16.7097426323006,7.13590809810339,74.8455659010174,27.8670152668228,21450,3.0,81.4187474379487,3.0,0.867143731098356,68.2723843640861,5.81234695300364,21.0241717052093,16.1473478868598,8276.91763199615,"Cardinia (S)",2045.65516253255,9.3627425567762,6014.24661164959,40756.8276370495,3.0,4.00152591460088,15.1934571309928,15064.076093678,39.024287901345,3.0,1.0,10.9798474199317
16.4742577742377,6.68733728411678,75.3148908894748,25.6655574128286,21610,3.0,80.6976221401178,3.0,1.48929247421586,69.9321596388318,7.5735827077036,19.3631263402099,15.9693978393512,28541.1191503078,"Casey (C)",7382.31478427863,9.85966756857136,23191.7222565807,146768.306067378,3.0,4.08831487916632,14.6113969543906,49168.0344513359,34.8568570514195,3.0,1.0,11.7714902735274
21.3072315351236,9.3970926922434,68.8304023936503,34.496663084098,21670,3.0,77.1488443074333,3.0,2.85223580037207,60.5119604798674,9.99192023968056,26.0735479002026,23.3103064169689,1687.14499391154,"Central Goldfields (S)",630.397744754014,11.4641956637611,1462.30010270861,6211.00212728876,3.0,6.12466424630773,18.7688717819819,3313.37440045552,47.6860946330724,3.0,1.0,16.6511133283247
22.8891350297678,7.59881699925808,72.8825616762789,34.2759413681884,21750,3.0,79.770163004481,3.0,1.73556665871343,65.9949603480768,7.91211337402881,23.4725170281198,18.8121792888145,2818.26799268008,"Colac-Otway (S)",797.409704696502,11.3432206331851,2144.7037890587,11822.5909235653,3.0,4.66719182898576,17.4078688306524,5702.06046917649,45.662747706609,3.0,1.0,13.3621463314217
22.455316026159,7.74576142464746,74.1480848968816,35.101349170802,21830,3.0,81.9393965788385,3.0,1.08459271615696,66.3567732149247,5.84771340793697,22.9526051189061,18.2029314103177,1984.03815083258,"Corangamite (S)",569.578360497501,9.21865443949122,1469.29207206659,9124.46151611923,3.0,4.41517707040221,16.0856297791987,4512.31925557341,47.7473823154451,1.0,1.0,12.0253224091273
13.5370031763752,8.86924362966495,72.3595033955726,26.050659276612,21890,3.0,79.8037661549466,3.0,2.42506398489174,64.9152406361986,7.5656284537357,23.5196050689206,19.1413139191419,19585.1312973471,"Darebin (C)",6708.47462219854,10.495940735871,15408.2271945775,83221.5168855065,3.0,5.64715380727835,17.0077729023958,29819.6024067452,38.5643153768488,3.0,1.0,13.3534711864388
26.0403982243057,8.3045511761122,73.0341233087752,38.2927498584495,22110,3.0,80.6854374861097,3.0,2.01848137866053,65.3828091314408,8.01836210725825,23.5262096148578,20.3931117758136,5258.30717623776,"East Gippsland (S)",1774.38140100747,9.96490819926708,4353.7372333619,23053.817830417,3.0,5.16151627738636,16.7455589070624,12737.1285865236,50.5451014925933,3.0,1.0,14.2057369415359
13.1724354261141,7.75081573851372,74.6342546289212,25.6002282834692,22170,3.0,82.058742155398,3.0,1.05297701271996,67.2097671024445,9.05902625933223,24.1995334336753,20.7396313343612,17689.1176717853,"Frankston (C)",4370.30718300371,11.0734512296908,14959.3029270365,74769.3403993699,3.0,4.40189637561684,17.6364923316831,25674.5698401512,38.0280211408244,3.0,1.0,14.8993287968467
