significance, numeric, boundedBy, ci_high, lga_name06, vic_ave, lga_code06, ci_low
"better",47.0,[146.1309032,-37.16259148,146.72578106,-36.0694373],53.9,"Wangaratta (RC)",34.3,26700,40.1
"better",49.6,[142.42235616,-38.45014395,142.62095408,-38.30626405],56.5,"Warrnambool (C)",34.3,26730,42.8
"none",39.7,[146.31128048,-38.95532465,147.72266048,-37.11997915],46.1,"Wellington (S)",34.3,26810,33.5
"better",59.7,[140.96310342,-37.45047793,141.83767485,-35.7485314],67.3,"West Wimmera (S)",34.3,26890,51.7
"none",38.3,[145.09511101,-37.86525102,145.21353075,-37.79219082],46.3,"Whitehorse (C)",34.3,26980,30.8
"none",28.1,[144.94648717,-37.6999802,145.24103571,-37.40168636],34.8,"Whittlesea (C)",34.3,27070,22.2
"none",41.0,[146.7021519,-36.25962751,147.07390278,-36.02974357],48.4,"Wodonga (RC)",34.3,27170,34.0
"none",29.1,[144.44405299,-38.00458055,144.82741443,-37.78094286],36.3,"Wyndham (C)",34.3,27260,22.8
"none",32.1,[144.9614729,-37.83451913,145.0452823,-37.77530776],39.5,"Yarra (C)",34.3,27350,25.6
"none",38.0,[145.28166554,-37.97506974,146.19250211,-37.52495212],44.9,"Yarra Ranges (S)",34.3,27450,31.6
"better",55.4,[141.99461072,-36.76155201,142.81684435,-35.28832405],63.5,"Yarriambiack (S)",34.3,27630,46.9
