smokers_me_1_no_3_11_7_13, smokers_f_me_3_rrmse_3_11_7_13, obese_f_me_3_rrmse_3_11_7_13, smokers_m_me_1_no_3_11_7_13, obese_m_me_1_no_3_11_7_13, area_code, ovrwght_m_me_1_no_3_11_7_13, obese_f_me_2_rate_3_11_7_13, alcohol_cons_2_rate_3_11_7_13, ovrwght_p_me_3_rrmse_3_11_7_13, ovrwght_p_me_2_rate_3_11_7_13, smokers_m_me_3_rrmse_3_11_7_13, area_name, ovrwght_f_me_2_rate_3_11_7_13, alcohol_cons_1_no_3_11_7_13, smokers_m_me_2_rate_3_11_7_13, obese_p_me_3_rrmse_3_11_7_13, smokers_me_3_rrmse_3_11_7_13, ovrwght_f_me_1_no_3_11_7_13, ovrwght_p_me_1_no_3_11_7_13, ovrwght_f_me_3_rrmse_3_11_7_13, obese_m_me_3_rrmse_3_11_7_13, smokers_f_me_2_rate_3_11_7_13, obese_f_me_1_no_3_11_7_13, obese_m_me_2_rate_3_11_7_13, smokers_f_me_1_no_3_11_7_13, smokers_me_2_rate_3_11_7_13, ovrwght_m_me_3_rrmse_3_11_7_13, alcohol_cons_3_rrmse_3_11_7_13, obese_p_me_2_rate_3_11_7_13, obese_p_me_1_no_3_11_7_13, ovrwght_m_me_2_rate_3_11_7_13
1800.07337342836,3.0,3.0,986.708100533472,971.827582329059,22250,1473.09060813905,30.5272273652127,3.50803129025707,3.0,35.5300750313407,3.0,"Gannawarra (S)",27.4262633067967,266.397367808479,27.5829445674022,3.0,3.0,921.182190743203,2394.27279888225,3.0,3.0,23.1652992831249,1018.93079785176,27.1473325005557,813.365272894883,25.3842132343031,3.0,1.0,28.8050688267404,1990.75838018082,43.0460874936528
3602.98060802523,3.0,3.0,2023.36148940415,1841.07209914502,22410,2699.79460142715,33.2050674502467,3.30288853087975,3.0,34.8491001726958,3.0,"Glenelg (S)",27.1979848630566,495.294701953366,27.892646826159,3.0,3.0,1695.08159842607,4394.87619985322,3.0,3.0,21.9589989461681,2067.10977052906,27.3753582766504,1579.61911862108,24.9415217305303,3.0,3.0,30.1979568632633,3908.18186967408,41.9854052677646
2728.41262588059,3.0,3.0,1537.83577246033,1653.0780265466,22490,2745.86217037627,27.5358181595671,3.0752172244496,3.0,37.0628906443874,3.0,"Golden Plains (S)",27.2064377610432,441.106800316522,21.8237479962265,3.0,3.0,1505.18746075804,4251.04963113431,3.0,3.0,16.9408755504675,1537.49183024778,26.5607626523367,1190.57685342026,19.3856557460903,3.0,3.0,27.009449782423,3190.56985679438,46.2123549738059
16792.4559604666,3.0,3.0,8673.51828552865,8286.17802251833,22620,13800.3553158733,32.7776020998833,3.18911962300415,3.0,36.259567430102,3.0,"Greater Bendigo (C)",27.9988945398223,2450.53809629344,23.6141582892152,3.0,3.0,8796.40738603729,22596.7627019106,3.0,3.0,20.8067976110166,10292.4468895147,26.4977307010264,8118.93767493794,22.1828380976551,3.0,3.0,29.6510521140173,18578.624912033,44.5615100422926
22765.9702087,3.0,3.0,14931.3306566,11649.3453205,22670,18990.8366107,31.5486162582224,2.96029960131444,3.0,34.4206790659956,3.0,"Greater Dandenong (C)",27.3468824989571,3305.6733434,25.7823087886364,3.0,3.0,11602.5606851,30593.3972958,3.0,3.0,14.173834036956,13340.2398909,25.6737872719097,7834.6395521,20.1053154047378,3.0,3.0,28.5293444029962,24989.5852114,40.7634953471626
33541.3578856911,3.0,3.0,18221.9251085299,17529.2018464123,22750,28999.739579954,31.8489305235117,3.10437363972983,3.0,35.6377228039457,3.0,"Greater Geelong (C)",27.810992774682,5072.66824690182,23.1840234690199,3.0,3.0,18871.1402939843,47870.8798739383,3.0,3.0,18.6434811018938,21547.4819417478,26.0949311617031,15319.4327771612,20.8673092233574,3.0,3.0,28.981914818215,39076.6837881601,43.4203664331561
10709.8035984276,3.0,3.0,6163.84612013487,5241.77731325788,22830,8270.30701627207,35.22985369165,3.25684108868102,3.0,35.7427943794107,3.0,"Greater Shepparton (C)",27.2184214299074,1480.49192540045,27.5394118739345,3.0,3.0,4952.64742242024,13222.9544386923,3.0,3.0,20.0949875717729,6390.36905840651,27.5069453495215,4545.95747829271,23.7988116201287,3.0,3.0,31.274838779016,11632.1463716644,43.8749521942357
2453.22949841258,3.0,3.0,1348.21788828184,1314.81670349289,22910,2041.63374546091,26.6408606803279,3.17450036486702,3.0,34.935335414817,3.0,"Hepburn (S)",27.1002335637391,362.921177456575,25.5410289791152,3.0,3.0,1339.45770069631,3381.09144615721,3.0,3.0,20.006818972825,1324.13668869006,25.7606171091321,1105.01161013075,22.7254772795357,3.0,3.0,26.1675380006362,2638.95339218295,42.6456027756351
967.269745080815,3.0,3.0,552.256855584047,570.392103392529,22980,822.659148153964,34.8855861849792,3.53663575541676,3.0,35.7988235000463,3.0,"Hindmarsh (S)",28.1139491965663,150.453732514399,27.1538644413124,3.0,3.0,524.846850522506,1347.50599867647,3.0,3.0,21.3330651282383,642.737766820228,28.4490681331318,415.012889496768,24.3101772956364,3.0,1.0,31.5637219236684,1213.12987021276,42.7616863630435
12651.0532942737,3.0,3.0,7491.1734759225,7076.02787279739,23110,12447.5295503073,28.1845559061039,2.98515181075289,3.0,35.6326680296211,3.0,"Hobsons Bay (C)",27.2271381964318,2068.88345245851,21.353008985008,3.0,3.0,7451.18170313998,19898.7112534473,3.0,3.0,14.6951896077082,7665.46317030238,25.0201237493613,5159.87981835116,18.020735427648,3.0,3.0,26.5841993201606,14741.4910430998,43.6328305110699
3232.05325840816,3.0,3.0,1734.7749776899,1678.1201851186,23190,2583.89327724358,31.4675582230553,3.36937731365637,3.0,35.4492633637337,3.0,"Horsham (RC)",28.0938808804086,487.143943747298,24.8029990500245,3.0,3.0,1699.91175302729,4283.80503027087,3.0,3.0,20.9454740270605,1889.20130938584,27.32385943245,1497.27828071827,22.8612005858002,3.0,3.0,29.3898745788301,3567.32149450444,42.5562237979898
28111.5787661724,3.0,3.0,16809.6320682462,13485.235841899,23270,22889.3377830287,34.2966344770066,3.03848672322095,3.0,35.716352804922,3.0,"Hume (C)",27.5721922818888,4058.26752709473,25.0550421155833,3.0,3.0,13774.5092884033,36663.847071432,3.0,3.0,16.2889109659186,17226.796093899,25.9964765441031,11301.9466979262,20.5961535781042,3.0,3.0,30.0728627432514,30712.031935798,43.6930861779245
2195.98825106997,3.0,3.0,1210.26105531971,1347.27811542627,23350,2130.72529821349,26.2044222597032,3.11947329246714,3.0,35.8599613760647,3.0,"Indigo (S)",27.3186075128587,359.069346555584,22.3245758629272,3.0,3.0,1328.49103809354,3459.21633630703,3.0,3.0,17.709143371025,1279.20177088128,26.3029089097082,985.72719575026,19.9921046031518,3.0,3.0,26.2310338849799,2626.47988630755,44.1095827062176
19607.400044,3.0,3.0,11341.8141628,11808.5022665,23430,21447.8197734,27.4443728064203,2.82361666182023,3.0,36.2972995648385,3.0,"Kingston (C)",27.4060279183836,3282.1054958,19.8954211411996,3.0,3.0,13073.2476916,34521.067465,3.0,3.0,14.0124813889766,13020.4054616,24.8905679019785,8265.5858812,16.9052322198887,3.0,3.0,26.161589565413,24828.9077281,45.100600078653
